"Trial,Expected_Command,Recognized_Command,Correct,Latency_ms,X,Y,Z,Base,Shoulder,Elbow,Tool,Success"
"1,LEFT,LEFT,Yes,655.13,306.508975,14.1153322,345.0123539,0.046019424,0.084368943,1.076854513,3.032680018,Yes"
"2,LEFT,LEFT,Yes,657.01,300.1965251,75.19531504,342.648843,0.245436926,0.092038847,1.076854513,3.032680018,Yes"
"3,LEFT,LEFT,Yes,655.10,283.494978,124.6254438,343.674684,0.414174813,0.095106809,1.069184609,3.032680018,Yes"
"4,LEFT,LEFT,Yes,658.59,254.2366976,187.348509,335.0691639,0.635068046,0.107378655,1.087592379,3.032680018,Yes"
"5,LEFT,LEFT,Yes,660.37,215.0073961,234.3184759,332.7242469,0.828349625,0.113514578,1.089126359,3.032680018,Yes"
"6,LEFT,LEFT,Yes,659.81,167.4768819,272.7336595,330.7666821,1.020097224,0.119650501,1.089126359,3.032680018,Yes"
"7,LEFT,LEFT,Yes,656.93,113.6046121,301.3726908,328.7966642,1.210310842,0.125786425,1.089126359,3.032680018,Yes"
"8,LEFT,LEFT,Yes,655.79,54.91632391,319.3984738,326.8142673,1.400524459,0.131922348,1.089126359,3.031146037,Yes"
"9,LEFT,LEFT,Yes,658.22,-7.513899968,326.4957819,324.3189769,1.593806039,0.139592252,1.089126359,3.031146037,Yes"
"10,LEFT,LEFT,Yes,661.84,-68.7044254,322.0949595,320.9922829,1.780951695,0.147262156,1.092194321,3.031146037,Yes"
"11,LEFT,LEFT,Yes,657.44,-127.1585615,306.9879238,317.9475138,1.963495408,0.156466040,1.092194321,3.031146037,Yes"
"12,LEFT,LEFT,Yes,664.93,-182.2617724,280.1564640,315.9026885,2.147573103,0.162601964,1.092194321,3.032680018,Yes"
"13,LEFT,LEFT,Yes,657.52,-231.3771884,244.5208612,313.3299408,2.328582836,0.170271867,1.092194321,3.032680018,Yes"
"14,LEFT,LEFT,Yes,655.86,-273.2398585,200.7060262,310.7387607,2.508058588,0.177941771,1.092194321,3.032680018,Yes"
"15,LEFT,LEFT,Yes,661.72,-306.8125701,149.7460767,308.1293008,2.687534340,0.185611675,1.092194321,3.032680018,Yes"
"16,LEFT,LEFT,Yes,656.59,-330.8545916,91.55979648,306.0286744,2.871612035,0.191747598,1.092194321,3.032680018,Yes"
"17,LEFT,LEFT,Yes,657.10,-343.7485311,31.19613868,303.9165263,3.051087787,0.197883522,1.092194321,3.032680018,Yes"
"18,LEFT,LEFT,Yes,657.82,-346.950498,6.919717464,301.7929359,3.121650903,0.204019445,1.092194321,3.032680018,Yes"
"19,LEFT,LEFT,Yes,654.42,-349.2545328,6.965670043,299.1224789,3.121650903,0.211689349,1.092194321,3.032680018,Yes"
"20,RIGHT,RIGHT,Yes,660.29,-344.8518844,68.59530473,296.4344255,2.945243113,0.219359253,1.092194321,3.032680018,Yes"
"21,RIGHT,RIGHT,Yes,656.34,-328.9731315,130.3897961,293.7289337,2.764233380,0.227029157,1.092194321,3.032680018,Yes"
"22,RIGHT,RIGHT,Yes,658.35,-301.7374458,189.1333756,291.0061626,2.581689666,0.234699061,1.092194321,3.032680018,Yes"
"23,RIGHT,RIGHT,Yes,662.38,-263.6073366,243.3763253,287.7162544,2.396077991,0.243902945,1.092194321,3.032680018,Yes"
"24,RIGHT,RIGHT,Yes,660.28,-216.1811255,289.6251805,284.4019734,2.212000296,0.253106830,1.092194321,3.032680018,Yes"
"25,RIGHT,RIGHT,Yes,654.73,-159.1595919,327.3728508,281.0636005,2.023320659,0.262310715,1.092194321,3.032680018,Yes"
"26,RIGHT,RIGHT,Yes,662.76,-94.40667173,353.7772663,278.2634235,1.831573061,0.269980619,1.092194321,3.032680018,Yes"
"27,RIGHT,RIGHT,Yes,656.77,-26.52895791,367.3237523,275.4468770,1.642893424,0.277650523,1.092194321,3.032680018,Yes"
"28,RIGHT,RIGHT,Yes,655.01,43.13095346,368.2830345,272.0456470,1.454213787,0.286854407,1.092194321,3.032680018,Yes"
"29,RIGHT,RIGHT,Yes,656.36,113.8264772,355.5103352,268.6213717,1.260932208,0.296058292,1.092194321,3.032680018,Yes"
"30,RIGHT,RIGHT,Yes,660.42,180.6728274,329.4562260,265.1743412,1.069184609,0.305262177,1.092194321,3.032680018,Yes"
"31,RIGHT,RIGHT,Yes,666.58,241.6972946,290.8513318,261.7048476,0.877437011,0.314466062,1.092194321,3.032680018,Yes"
"32,RIGHT,RIGHT,Yes,657.41,294.9177266,240.5223325,258.2131848,0.684155431,0.323669946,1.092194321,3.032680018,Yes"
"33,RIGHT,RIGHT,Yes,654.45,337.4301496,181.0262132,254.6996484,0.492407833,0.332873831,1.092194321,3.032680018,Yes"
"34,RIGHT,RIGHT,Yes,656.45,368.3168300,112.9628042,251.1645363,0.297592273,0.342077716,1.092194321,3.032680018,Yes"
"35,RIGHT,RIGHT,Yes,655.49,385.3769245,40.94310590,247.6081477,0.105844674,0.351281600,1.092194321,3.032680018,Yes"
"36,RIGHT,RIGHT,Yes,654.69,388.3191301,-34.04021533,244.0307841,-0.087436905,0.360485485,1.092194321,3.032680018,Yes"
"37,RIGHT,RIGHT,Yes,656.02,376.6920759,-108.6125229,240.4327484,-0.280718484,0.369689370,1.092194321,3.032680018,Yes"
"38,RIGHT,RIGHT,Yes,663.74,351.3199885,-178.8707303,236.8143454,-0.470932102,0.378893255,1.092194321,3.032680018,Yes"
"39,RIGHT,RIGHT,Yes,658.37,313.1537762,-243.6155935,232.5675423,-0.661145720,0.389631120,1.092194321,3.032680018,Yes"
"40,UP,UP,Yes,656.16,343.6308070,-96.8001104,289.9122519,-0.274582561,0.237767022,1.092194321,3.032680018,Yes"
"41,UP,UP,Yes,658.01,288.2966371,-81.21258551,348.9857758,-0.274582561,0.058291270,1.092194321,3.032680018,Yes"
"42,UP,UP,Yes,655.98,224.8717378,-63.34591837,396.1331882,-0.274582561,-0.118116521,1.092194321,3.032680018,Yes"
"43,UP,A UP,No,52.35,223.1146725,-62.85095658,397.2041123,-0.274582561,-0.122718463,1.092194321,3.032680018,No"
"44,UP,UP,Yes,663.05,436.6448885,-123.0019910,75.58609796,-0.274582561,0.754718548,1.092194321,3.032680018,Yes"
"45,UP,UP,Yes,656.05,418.4471850,-117.8757343,150.0292347,-0.274582561,0.587514642,1.092194321,3.032680018,Yes"
"46,UP,UP,Yes,659.69,387.2697822,-109.0931224,222.7606634,-0.274582561,0.414174813,1.092194321,3.032680018,Yes"
"47,UP,UP,Yes,657.81,342.7730712,-96.55848796,291.0061626,-0.274582561,0.234699061,1.092194321,3.032680018,Yes"
"48,UP,UP,Yes,657.61,287.2647161,-80.92189544,349.9030386,-0.274582561,0.055223308,1.092194321,3.032680018,Yes"
"49,UP,UP,Yes,661.02,221.3528820,-62.35466374,398.2666245,-0.274582561,-0.127320405,1.092194321,3.032680018,Yes"
"50,UP,UP,Yes,656.87,149.0719516,-41.99327034,433.2255048,-0.274582561,-0.306796158,1.090660340,3.032680018,Yes"
"51,DOWN,DOWN,Yes,654.78,295.4435637,-83.22586043,342.4734493,-0.274582561,0.079767001,1.092194321,3.032680018,Yes"
"52,DOWN,DOWN,Yes,654.25,357.7109846,-100.7664682,270.9067682,-0.274582561,0.289922369,1.092194321,3.032680018,Yes"
"53,DOWN,DOWN,Yes,654.36,403.9608566,-113.7949646,188.0633910,-0.274582561,0.498543756,1.092194321,3.032680018,Yes"
"54,DOWN,DOWN,Yes,654.60,432.6928616,-121.8887129,97.06459623,-0.274582561,0.707165143,1.092194321,3.032680018,Yes"
"55,DOWN,DOWN,Yes,658.73,442.6645652,-124.6977219,-0.259825545,-0.274582561,0.920388473,1.092194321,3.032680018,Yes"
"56,DOWN,DOWN,Yes,658.52,227.5595015,-64.10305601,394.6868265,-0.274582561,-0.110446617,1.090660340,3.032680018,Yes"
"57,DOWN,DOWN,Yes,663.53,301.4611758,-84.92100973,336.7656281,-0.274582561,0.098174770,1.092194321,3.032680018,Yes"
"58,DOWN,DOWN,Yes,655.99,362.0598309,-101.9915296,264.5976443,-0.274582561,0.306796158,1.092194321,3.032680018,Yes"
"59,FORWARD,FORWARD,Yes,656.24,352.8190090,-99.38840853,309.8383035,-0.274582561,0.319068004,0.908116626,3.032680018,Yes"
"60,FORWARD,FOREVER,No,51.28,352.5391031,-99.30955959,310.6471206,-0.274582561,0.319068004,0.905048665,3.032680018,No"
"61,FORWARD,FORWARD,Yes,656.21,335.1568553,-94.41301518,353.5492226,-0.274582561,0.329805869,0.720970970,3.032680018,Yes"
"62,FORWARD,FORWARD,Yes,660.84,308.8392592,-86.99940104,394.3943170,-0.274582561,0.339009754,0.529223372,3.032680018,Yes"
"63,FORWARD,FORWARD,Yes,657.50,276.6328635,-77.92692384,428.3871009,-0.274582561,0.348213639,0.342077716,3.032680018,Yes"
"64,FORWARD,FORWARD,Yes,656.38,237.9120172,-67.01933896,456.1695673,-0.274582561,0.357417524,0.150330117,3.032680018,Yes"
"65,FORWARD,FORWARD,Yes,657.14,193.7302850,-54.57343344,476.2453979,-0.274582561,0.365087428,-0.042951462,3.032680018,Yes"
"66,FORWARD,FORWARD,Yes,655.95,147.4288154,-41.53040215,487.0614655,-0.274582561,0.372757331,-0.233165080,3.032680018,Yes"
"67,FORWARD,FORWARD,Yes,656.67,97.80808685,-27.55234226,488.5457601,-0.274582561,0.380427235,-0.431048601,3.032680018,Yes"
"68,FORWARD,FORWARD,Yes,654.10,49.07478943,-13.82426994,480.0270650,-0.274582561,0.388097139,-0.627398142,3.032680018,Yes"
"69,FORWARD,FORWARD,Yes,655.80,14.77650637,-4.162512262,467.2338062,-0.274582561,0.395767043,-0.774660298,3.032680018,Yes"
"70,BACKWARD,BACKWARD,Yes,656.03,66.79003319,-18.81461864,481.7152542,-0.274582561,0.401902966,-0.584446680,3.032680018,Yes"
"71,BACKWARD,BACKWARD,Yes,656.23,123.9889461,-34.92743790,485.5330499,-0.274582561,0.408038890,-0.381961216,3.032680018,Yes"
"72,BACKWARD,BACKWARD,Yes,656.18,184.3943815,-51.94352812,476.1896567,-0.274582561,0.415708794,-0.168737887,3.032680018,Yes"
"73,BACKWARD,BACKWARD,Yes,657.44,237.8830954,-67.01119174,455.5415796,-0.274582561,0.423378697,0.029145635,3.032680018,Yes"
"74,BACKWARD,BACKWARD,Yes,665.42,287.3805598,-80.95452840,423.4823803,-0.274582561,0.431048601,0.231631099,3.032680018,Yes"
"75,BACKWARD,BACKWARD,Yes,656.28,329.0379837,-92.68934129,382.3504544,-0.274582561,0.438718505,0.431048601,3.032680018,Yes"
"76,BACKWARD,RECORD,No,51.36,329.3045496,-92.76443239,382.0218339,-0.274582561,0.438718505,0.432582582,3.032680018,No"
"77,BACKWARD,BACKWARD,Yes,655.14,362.3743859,-102.0801391,332.9077859,-0.274582561,0.447922390,0.630466104,3.032680018,Yes"
"78,BACKWARD,BACKLOG,No,51.79,362.5696607,-102.1351476,332.5289332,-0.274582561,0.447922390,0.632000085,3.032680018,No"
"79,BACKWARD,BACKWARD,Yes,655.16,385.3955998,-108.5651689,277.7047037,-0.274582561,0.457126275,0.829883606,3.032680018,Yes"
"80,BACKWARD,BACKWARD,Yes,654.46,397.5029503,-111.9757853,218.4498724,-0.274582561,0.467864140,1.029301109,3.032680018,Yes"
"81,BACKWARD,THEY'RE GOOD,No,51.03,397.5625451,-111.9925731,217.5925998,-0.274582561,0.467864140,1.032369070,3.032680018,No"
"82,BACKWARD,BACKWARD,Yes,655.62,397.6479193,-112.0166228,157.4140231,-0.274582561,0.478602006,1.231786573,3.032680018,Yes"
"83,BACKWARD,BACKWARD,Yes,654.32,385.5377930,-108.6052245,98.73558868,-0.274582561,0.487805891,1.434272037,3.032680018,Yes"
"84,BACKWARD,BACKWARD,Yes,660.45,362.5530517,-102.1304689,45.07207572,-0.274582561,0.497009775,1.633689539,3.032680018,Yes"
